ID   Data   Hora   Bomba   Frentista   Tipo
1   19/01/2017 00:00:00   08:02:00   2   2   2   
2   07/01/2017 00:00:00   08:02:00   2   1   2   
3   27/02/2017 00:00:00   08:02:00   3   2   3   
4   27/02/2017 00:00:00   08:02:00   1   1   1   
5   16/02/2017 00:00:00   08:02:00   2   3   2   
6   01/02/2017 00:00:00   08:02:00   3   2   2   
7   09/01/2017 00:00:00   08:02:00   2   1   2   
8   07/01/2017 00:00:00   08:02:00   3   2   2   
9   03/01/2017 00:00:00   14:36:00   2   3   3   
10   11/01/2017 00:00:00   08:32:00   2   2   2   
11   25/01/2017 00:00:00   03:35:00   2   3   1   
12   02/02/2017 00:00:00   14:39:00   2   3   3   
13   22/02/2017 00:00:00   18:34:00   3   2   2   
14   15/02/2017 00:00:00   17:23:00   1   1   1  
